X_cm-1,raw_Y,raw_E,smoothed_Y,smoothed_E,effective_window_points
-1.006179999999999986e+01,1.766629999999999867e-01,1.024319999999999918e-02,2.007045999999999830e-01,4.887089809856168081e-03,5.000000000000000000e+00
-9.940780000000000172e+00,2.132040000000000046e-01,1.126560000000000061e-02,2.032242000000000215e-01,4.918744974279516506e-03,5.000000000000000000e+00
-9.819800000000000750e+00,2.077410000000000090e-01,1.112360000000000085e-02,2.055467999999999740e-01,4.946334536603847441e-03,5.000000000000000000e+00
-9.698819999999999553e+00,2.172729999999999939e-01,1.137750000000000046e-02,2.146543999999999952e-01,5.057150065797929445e-03,5.000000000000000000e+00
-9.577830000000000510e+00,2.128529999999999867e-01,1.125330000000000080e-02,2.169003999999999655e-01,5.084557059764399992e-03,5.000000000000000000e+00
-9.456849999999999312e+00,2.222010000000000096e-01,1.151680000000000065e-02,2.191978000000000260e-01,5.112525730204201500e-03,5.000000000000000000e+00
-9.335869999999999891e+00,2.244339999999999946e-01,1.156989999999999928e-02,2.196405999999999636e-01,5.118566519407557504e-03,5.000000000000000000e+00
-9.214880000000000848e+00,2.192280000000000062e-01,1.143959999999999942e-02,2.254322000000000270e-01,5.187365217371916679e-03,5.000000000000000000e+00
-9.093899999999999650e+00,2.194869999999999877e-01,1.144520000000000086e-02,2.301604000000000150e-01,5.241936965130351497e-03,5.000000000000000000e+00
-8.972920000000000229e+00,2.418109999999999982e-01,1.201510000000000078e-02,2.316320000000000046e-01,5.260182402388723436e-03,5.000000000000000000e+00
-8.851940000000000808e+00,2.458420000000000050e-01,1.211880000000000075e-02,2.344948000000000032e-01,5.295066067614265064e-03,5.000000000000000000e+00
-8.730949999999999989e+00,2.317919999999999980e-01,1.177510000000000015e-02,2.329450000000000132e-01,5.278494172811029270e-03,5.000000000000000000e+00
-8.609970000000000567e+00,2.335419999999999996e-01,1.183509999999999944e-02,2.286529999999999951e-01,5.228466304146943064e-03,5.000000000000000000e+00
-8.488989999999999370e+00,2.117380000000000095e-01,1.125220000000000040e-02,2.234501999999999877e-01,5.168589709350124121e-03,5.000000000000000000e+00
-8.368000000000000327e+00,2.203509999999999913e-01,1.145520000000000045e-02,2.187425999999999815e-01,5.113447598558138948e-03,5.000000000000000000e+00
-8.247019999999999129e+00,2.198279999999999956e-01,1.145870000000000048e-02,2.076626000000000027e-01,4.980759149246226890e-03,5.000000000000000000e+00
-8.126039999999999708e+00,2.082539999999999947e-01,1.115700000000000025e-02,2.090104000000000128e-01,4.998235849657356802e-03,5.000000000000000000e+00
-8.005050000000000665e+00,1.781419999999999948e-01,1.032399999999999984e-02,2.063190000000000024e-01,4.966870613937915228e-03,5.000000000000000000e+00
-7.884070000000000356e+00,2.184770000000000045e-01,1.144429999999999926e-02,2.069151999999999936e-01,4.974533179907437638e-03,5.000000000000000000e+00
-7.763090000000000046e+00,2.068939999999999946e-01,1.110889999999999968e-02,2.091702000000000283e-01,4.999967364853494765e-03,5.000000000000000000e+00
-7.642100000000000115e+00,2.228090000000000070e-01,1.154149999999999968e-02,2.160368000000000011e-01,5.080641147453734442e-03,5.000000000000000000e+00
-7.521119999999999806e+00,2.195290000000000019e-01,1.143770000000000030e-02,2.168979999999999797e-01,5.089383224871163632e-03,5.000000000000000000e+00
-7.400140000000000384e+00,2.124749999999999972e-01,1.126570000000000002e-02,2.181487999999999761e-01,5.104370681210368063e-03,5.000000000000000000e+00
-7.279149999999999565e+00,2.227830000000000088e-01,1.154099999999999918e-02,2.174859999999999849e-01,5.095914498183815380e-03,5.000000000000000000e+00
-7.158170000000000144e+00,2.131480000000000041e-01,1.127949999999999960e-02,2.161039999999999905e-01,5.079581298453642556e-03,5.000000000000000000e+00
-7.037189999999999834e+00,2.194949999999999957e-01,1.144769999999999989e-02,2.189090000000000202e-01,5.113363589458508156e-03,5.000000000000000000e+00
-6.916199999999999903e+00,2.126190000000000024e-01,1.125460000000000002e-02,2.182696000000000081e-01,5.106825618757702794e-03,5.000000000000000000e+00
