X_cm-1,subtracted_Y,subtracted_E,pureMeOH_raw_Y,pureMeOH_raw_E,emptyAlcan_Y,emptyAlcan_E
-1.187650000000000006e+01,2.672215000000000007e-01,1.928304072786498832e-02,2.889840000000000186e-01,1.912689999999999876e-02,2.176250000000000059e-02,2.448950000000000085e-03
-1.175549999999999962e+01,2.733691000000000315e-01,1.941342394402388941e-02,2.938350000000000128e-01,1.926680000000000059e-02,2.046589999999999868e-02,2.381480000000000055e-03
-1.163449999999999918e+01,3.097177000000000402e-01,2.070498619420935507e-02,3.333670000000000244e-01,2.054620000000000057e-02,2.364930000000000157e-02,2.559319999999999911e-03
-1.151360000000000028e+01,2.905221000000000053e-01,2.021095379818577467e-02,3.177599999999999869e-01,2.002419999999999894e-02,2.723789999999999892e-02,2.741180000000000179e-03
-1.139259999999999984e+01,2.929404999999999926e-01,2.044352731280979496e-02,3.233599999999999808e-01,2.023710000000000092e-02,3.041949999999999862e-02,2.897859999999999932e-03
-1.127159999999999940e+01,2.909362000000000337e-01,2.052767154025024812e-02,3.232010000000000161e-01,2.030950000000000116e-02,3.226480000000000320e-02,2.984880000000000085e-03
-1.115060000000000073e+01,2.938058000000000058e-01,2.028207065394458178e-02,3.197940000000000227e-01,2.010450000000000084e-02,2.598819999999999950e-02,2.677960000000000063e-03
-1.102960000000000029e+01,3.303629000000000149e-01,2.153438039902703938e-02,3.596699999999999897e-01,2.134609999999999980e-02,2.930709999999999912e-02,2.841400000000000002e-03
-1.090859999999999985e+01,3.467660000000000187e-01,2.198973072345589141e-02,3.750180000000000180e-01,2.181169999999999984e-02,2.825199999999999934e-02,2.792489999999999903e-03
-1.078769999999999918e+01,3.884221999999999952e-01,2.309360951382221500e-02,4.145019999999999816e-01,2.293800000000000006e-02,2.607980000000000020e-02,2.676369999999999964e-03
-1.066670000000000051e+01,3.397757000000000138e-01,2.192012976868750254e-02,3.726900000000000213e-01,2.171100000000000113e-02,3.291430000000000050e-02,3.020689999999999920e-03
